date,campaign_id,spend,impressions,bid_requests,win_rate,installs,retained_users,attributed_revenue,cpi,roas,d7_retention,pacing_index,contextual_fit,signal_coverage,creative_fatigue,measurement_reliability,predicted_value_index
2026-02-06,CMP001,5816,3047307,15912907,0.191,1414,274,9220.58,4.11,1.59,0.194,0.831,0.478,0.763,0.051,0.904,85.8
2026-02-07,CMP001,5302,1648634,8704579,0.189,830,180,8458.28,6.39,1.6,0.217,0.757,0.522,0.76,0.274,0.874,75.1
2026-02-08,CMP001,6702,4911723,17539594,0.28,1308,257,14030.29,5.12,2.09,0.196,0.957,0.55,0.496,0.044,0.827,85.5
2026-02-09,CMP001,5366,1755801,6776081,0.259,989,205,9941.71,5.43,1.85,0.207,0.767,0.464,0.75,0.139,0.942,81.4
2026-02-10,CMP001,7704,3488865,14435364,0.242,1097,203,9973.84,7.02,1.29,0.185,1.101,0.437,0.626,0.27,0.9,70.1
2026-02-11,CMP001,7333,3417540,15601118,0.219,1332,336,15059.32,5.51,2.05,0.252,1.048,0.526,0.737,0.3,0.826,83.5
2026-02-12,CMP001,8133,5556974,18922458,0.294,1514,300,16240.25,5.37,2.0,0.198,1.162,0.61,0.689,0.094,0.949,78.8
2026-02-13,CMP001,6790,2322687,7218833,0.322,1277,347,15095.09,5.32,2.22,0.272,0.97,0.624,0.719,0.134,0.765,89.0
2026-02-14,CMP001,8888,5109614,16472019,0.31,1747,348,17161.89,5.09,1.93,0.199,1.27,0.534,0.721,0.269,0.85,80.2
2026-02-15,CMP001,7938,3855742,16327398,0.236,1143,274,14500.18,6.94,1.83,0.24,1.134,0.451,0.897,0.338,0.762,72.6
2026-02-16,CMP001,6049,3760980,11712687,0.321,1218,309,12504.92,4.97,2.07,0.254,0.864,0.613,0.99,0.176,0.838,85.6
2026-02-17,CMP001,7034,3216176,16981416,0.189,1587,401,13349.35,4.43,1.9,0.253,1.005,0.586,0.783,0.305,0.729,80.5
2026-02-18,CMP001,8506,3878036,16203344,0.239,1827,413,17965.23,4.66,2.11,0.226,1.215,0.404,0.786,0.239,0.751,83.0
2026-02-19,CMP001,6147,4451387,17627627,0.253,1455,367,8791.42,4.22,1.43,0.252,0.878,0.602,0.88,0.348,0.803,84.5
2026-02-20,CMP001,5054,3309610,13633445,0.243,795,154,7165.67,6.36,1.42,0.194,0.722,0.544,0.922,0.164,0.93,81.5
2026-02-21,CMP001,6121,2230265,6736909,0.331,972,243,8618.58,6.3,1.41,0.25,0.874,0.531,0.8,0.334,0.696,80.0
2026-02-22,CMP001,6764,2124073,8420461,0.252,1189,268,13287.67,5.69,1.96,0.225,0.966,0.552,0.819,0.318,0.823,77.7
2026-02-23,CMP001,7329,5278643,23323681,0.226,1223,274,11455.37,5.99,1.56,0.224,1.047,0.451,0.661,0.409,0.632,68.8
2026-02-24,CMP001,7453,3042845,10284518,0.296,1419,361,15091.38,5.25,2.02,0.254,1.065,0.585,0.859,0.299,0.852,79.3
2026-02-25,CMP001,6160,2630830,9205148,0.286,1357,265,8699.59,4.54,1.41,0.195,0.88,0.557,0.733,0.404,0.749,79.1
2026-02-26,CMP001,8088,5873563,27507416,0.214,1804,481,13643.69,4.48,1.69,0.267,1.155,0.613,0.813,0.375,0.642,81.9
2026-02-27,CMP001,7109,4852729,23113971,0.21,1064,231,10425.86,6.68,1.47,0.217,1.016,0.503,0.54,0.451,0.823,66.3
2026-02-28,CMP001,7744,3067891,11308171,0.271,1229,275,10733.49,6.3,1.39,0.224,1.106,0.458,0.74,0.406,0.666,75.9
