date,entity_id,primary_metric,secondary_metric,value_pool,quality_score,risk_score
2026-01-01,ADV001,63.4,71.9,131647,85.0,65.1
2026-01-01,ADV002,72.5,82.3,21370,92.7,84.4
2026-01-01,ADV003,42.9,40.1,5380,77.3,29.5
2026-01-01,ADV004,51.5,74.5,23069,90.8,92.2
2026-01-01,ADV005,41.1,47.2,11601,70.0,25.4
2026-01-01,ADV006,50.1,30.7,41589,73.0,80.5
2026-01-01,ADV007,74.2,52.5,165576,84.0,84.5
2026-01-01,ADV008,40.2,44.7,172216,82.9,49.4
2026-01-01,ADV009,64.2,63.3,34106,98.9,17.7
2026-01-01,ADV010,47.1,78.1,26265,88.5,15.4
2026-01-01,ADV011,85.6,19.8,99714,80.9,9.8
2026-01-01,ADV012,94.2,77.7,152139,98.4,62.3
2026-01-01,ADV013,43.3,80.0,28425,86.2,86.1
2026-01-01,ADV014,94.6,69.9,120443,65.3,69.3
2026-01-01,ADV015,49.2,23.5,157183,91.8,73.9
2026-01-01,ADV016,89.9,57.9,149826,85.9,20.3
2026-01-01,ADV017,54.2,63.1,177589,91.4,53.3
2026-01-01,ADV018,79.1,35.1,148872,64.5,29.6
2026-01-01,ADV019,49.7,40.8,167342,86.0,46.3
2026-01-01,ADV020,49.1,53.3,75491,83.3,75.5
2026-01-01,ADV021,91.3,68.2,81833,83.0,76.5
2026-01-01,ADV022,80.8,60.3,108140,84.4,37.4
2026-01-01,ADV023,73.2,72.5,72420,79.7,38.0
2026-01-01,ADV024,62.4,61.5,3635,98.2,45.1
2026-01-01,ADV025,68.1,35.4,137261,65.8,65.8
2026-01-01,ADV026,56.8,45.4,165211,64.2,14.0
2026-01-01,ADV027,83.5,78.1,88982,92.0,63.0
2026-01-01,ADV028,45.9,62.0,7434,78.7,49.9
2026-01-01,ADV029,50.4,83.9,171696,91.4,30.6
2026-01-01,ADV030,78.9,43.5,39269,63.7,43.5
2026-01-01,ADV031,95.0,19.1,126052,91.2,51.2
2026-01-01,ADV032,63.5,28.1,110671,63.8,70.0
2026-01-01,ADV033,95.2,66.8,35081,91.1,86.2
2026-01-01,ADV034,67.9,57.4,71187,82.7,51.3
2026-01-01,ADV035,78.3,66.6,65738,78.2,90.9
2026-01-01,ADV036,78.4,32.5,28018,92.3,83.0
2026-01-02,ADV001,54.6,65.2,109195,71.2,79.0
2026-01-02,ADV002,91.3,24.7,101931,65.4,64.2
2026-01-02,ADV003,64.0,53.0,176426,92.8,93.2
